事業所コード,事業所名,在庫区分,在庫区分名,倉庫コード,倉庫名,在庫場所コード,在庫場所名,会計年月,棚番,棚番名,資産分類,資産分類名,資産分類区分,資産分類区分名,品種,品種名,商品コード,商品名,規格,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特注区分,内訳商品ランク,内訳商品ランク名,単位,個別原価使用フラグ,ロット番号,有効期限,基準日,残月数,前月末原価調整額,前月末評価単価,前月末在庫数,前月末移動積送数,前月末出荷積送数,前月末在庫金額,仕入数,売上数,有償支給数,入庫数,出庫数,移動積送増減数,出荷積送増減数,棚卸調整数,当月末移動積送数,当月末出荷積送数,当月末評価単価,当月末在庫数,当月末原価調整額,当月末在庫金額
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000010,ｺｸﾖ  ﾘｱｸﾄ,CE22       3        W39 A011,CE22,,3,,W39,A011,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,59700,0,0,0,0,0,2,0,2,0,0,0,0,0,0,59700,0,0,0
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000011,ｺｸﾖ  ﾘｱｸﾄ,CE22       5        W39 A011,CE22,,5,,W39,A011,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,31100,0,0,0,0,0,4,0,4,0,0,0,0,0,0,31100,0,0,0
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000072,ｺｸﾖ ﾘｱｸﾄ,CE22       3        W39 A013,CE22,,3,,W39,A013,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,59700,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59700,0,0,0
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000073,ｺｸﾖ ﾘｱｸﾄ,CE22       5        W39 A013,CE22,,5,,W39,A013,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,31100,0,0,0,0,0,12,0,12,0,0,0,0,0,0,31100,0,0,0
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000147,ｺｸﾖ ﾘｱｸﾄ,CE22       5        W35 A011,CE22,,5,,W35,A011,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,31100,2,0,0,62200,0,2,0,0,0,0,0,0,0,0,31100,0,0,0
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000148,ｺｸﾖ ﾘｱｸﾄ,CE22       3        W35 A011,CE22,,3,,W35,A011,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59700,0,0,0
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000161,ｺｸﾖ ﾘｱｸﾄ,CE22       1        W39 A011,CE22,,1,,W39,A011,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,13800,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13800,0,0,0
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000170,ｺｸﾖ ﾘｱｸﾄ,CE22       1        W35 A011,CE22,,1,,W35,A011,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13800,2,0,27600
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000360,ｺｸﾖ ﾘｱｸﾄ,CE22       5        W39 H115,CE22,,5,,W39,H115,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,22700,0,0,0
100,日本フクラ,10,社内品,,,,,202005,,,1,製品,1,製品,0011,ソファ,CE22    0000361,ｺｸﾖ ﾘｱｸﾄ,CE22       3        W39 H115,CE22,,3,,W39,H115,,,0,A,ﾋﾟｰｽ,,,,2020/06/05,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,37100,0,0,0
